item,2,4,1,3,0,5,6,7,8,9,10,11,12
� Multinational Corporates � GDO � Public Sector � Large Local Corporates � Non-Banking Financial Institutions � SA outbound � Large Commercial Businesses � SME � Mass Market,,,,,,,,,,,,,
None None None,,,,,,,,,,,,,
None None None None None None None None None None None None,,,,,,,,,,,,,
None None None None None None None None None None None None None None,,,,,,,,,,,,,
None None None None None None None None None None None None None None None,,,,,,,,,,,,,
None None None None None None None None,,,,,,,,,,,,,
None None None None None None,,,,,,,,,,,,,
None None None None None None None,,,,,,,,,,,,,
None None None None,,,,,,,,,,,,,
Website http://www.absabank.co.ke/ Write us via BIR registration menu Log complaint via Self-Service Registered Internet Banking None,Write us via BIR registration menu,None,http://www.absabank.co.ke/,Log complaint via Self-Service Registered Internet Banking,,,,,,,,,
Call Centre 24 hour contact centre Tel: +254 (20) 3900000 Tel: +254 732 130120 Tel: +254 722 130120,Tel: +254 (20) 3900000,Tel: +254 722 130120,24 hour contact centre,Tel: +254 732 130120,,,,,,,,,
Social Media Platforms General Enquiries - absa.kenya@absa.africa None For Card Related Cases - Card.Services@absa.africa None,None,None,General Enquiries - absa.kenya@absa.africa,For Card Related Cases - Card.Services@absa.africa,,,,,,,,,
Timiza Call Centre Lead No: +254 709 213000 Alternate No: +254 (20) 4265000 E-mail: Timiza.KE@absa.africa None,Alternate No: +254 (20) 4265000,None,Call Centre Lead No: +254 709 213000,E-mail: Timiza.KE@absa.africa,,,,,,,,,
Building Mining and Construction Food and Beverages Leather and Footware Chemicals and Allied,Leather and Footware,,,,Building Mining and Construction,,,,,,,,
"Energy, Electrical and Electronics Automotive Pharmaceutical and Medical Equipment Paper and Board",Pharmaceutical and Medical Equipment,,,,"Energy, Electrical and Electronics",,,,,,,,
"Plastics and Rubber Services and Consultancy Timber, Wood and Furniture Textiles and Apparel","Timber, Wood and Furniture",,,,Plastics and Rubber,,,,,,,,
Agriculture/ Fresh Produce None None None,None,,,,Agriculture/ Fresh Produce,,,,,,,,
Loan Value Shs million,Manufacturing,Food Security,Housing,Health Care,,,,,,,,,
2019,30 220,2 841,3 711,849,,,,,,,,,
2018,24 548,7 429,2 729,400,,,,,,,,,
2017,21 756,6 620,2 520,483,,,,,,,,,
Turnover/income Shs million,Manufacturing,Food Security,Housing,Health Care,,,,,,,,,
Ls as % of loan book,Manufacturing,Food Security,Housing,Health Care,,,,,,,,,
None None None None 1355 None None,None,,,,,1355,,,,,,,
None 996 None,996,,,,,,,,,,,,
2,,",289",",648",2,,,"2,3",37,,,,,
363,0.28,,,,,,,,,,,,
None None None None None,,,,,,,,,,,,,
Nine principal risks,,,,,,,,,,,,,
Financial Non-financial Credit Operational Market Model Treasury Reputation Insurance Conduct Legal,,,,,,,,,,,,,
Cheque Card - CNP Internal,,,,,Cheque,,,,,,,,
MSC (ATM) None None,,,,,MSC (ATM),,,,,,,,
None Lending Card - C/Feit,,,,,None,,,,,,,,
None None Digital,,,,,None,,,,,,,,
Fund penetration test Identify new risks Are the products fraud safe? Additional stakeholder engagement Quarterly tracking of performance,Are the products fraud safe?,,,,,,,,,,,,
"� All new products must undergo a fraud penetration test � This ensures that the product is safe � A sign off of the product is required prior to launch of the product � Most risks are based on social engineering i.e. phishing � Fraudulent calls made to customers pretending to be Absa � This is difficult to measure however, Absa has implemented a new system after the launch of Timiza, due to a spike in social engineering incidents � This issue has been raised with the Central Bank � After onboarding Safaricom, Telkom Kenya and Airtel, the rate of incidents has dropped � Directorate of Criminal Investigations � Central Bank of Kenya � Safaricom � Airtel � Telkom Kenya � These quarterly discussions take the form of internal meetings � The performance is tracked against key performance indicators","� This is difficult to measure however, Absa has implemented a new system after the launch of Timiza, due to a spike in social engineering incidents � This issue has been raised with the Central Bank � After onboarding Safaricom, Telkom Kenya and Airtel, the rate of incidents has dropped",,,,,,,,,,,,
Issuing of new currency CBA trained cashiers,Reprogramming 54 cash deposit machines,,Calibration of 211 ATMs of which 71 are iATMs,,,,,,,,,,
ATMs disabled one week before deadline,Last day all branches closed at 4 pm,,9pm 30 September Value of Old Notes Reported to the Central Bank,,4 October all old notes returned to the Central Bank,,,,,,,,
Pillar Conduct risk outcome Corresponding banking sector charter pillar,,,Conduct risk outcome,,Pillar,,,,,,,,
"1. Culture Our culture places customer interests at the heart of our strategy, planning, decision-making and judgments. � Ethical culture",,,"Our culture places customer interests at the heart of our strategy, planning, decision-making and judgments.",,1. Culture,,,,,,,,
2. Customer Strategy Our strategy is to develop long-term banking relationships with our customers by providing products that meet their needs and do not cause them detriment. � Customer-centric business model,,,Our strategy is to develop long-term banking relationships with our customers by providing products that meet their needs and do not cause them detriment.,,2. Customer Strategy,,,,,,,,
"3. Market Integrity We do not disadvantage or exploit customers, customer segments or markets. We do not distort market competition. � Ethical culture",,,"We do not disadvantage or exploit customers, customer segments or markets. We do not distort market competition.",,3. Market Integrity,,,,,,,,
"4. Proactive management We proactively identify conduct risks and intervene before they crystallise by managing, escalating and mitigating them promptly. � Enhanced transparency and information disclosure",,,"We proactively identify conduct risks and intervene before they crystallise by managing, escalating and mitigating them promptly.",,4. Proactive management,,,,,,,,
"5. Product Design Our products and distribution channels are designed, monitored and managed to provide value, accessibility and to meet the needs of our customers. � Customer-centric business model � Risk-based credit pricing",,,"Our products and distribution channels are designed, monitored and managed to provide value, accessibility and to meet the needs of our customers.",,5. Product Design,,,,,,,,
6. Sales Practices We provide products that meet our customers’ expectations and perform as represented. Our representations are accurate and comprehensible so our customers understand the products they are purchasing. � Customer-centric business model,,,We provide products that meet our customers’ expectations and perform as represented. Our representations are accurate and comprehensible so our customers understand the products they are purchasing.,,6. Sales Practices,,,,,,,,
7. Customer Treatment We address any customer detriment and dissatisfaction in a timely and fair manner. � Customer-centric business model � Ethical culture,,,We address any customer detriment and dissatisfaction in a timely and fair manner.,,7. Customer Treatment,,,,,,,,
8. Data Privacy We safeguard the privacy of Personal Data � Enhanced transparency and information disclosure,,,We safeguard the privacy of Personal Data,,8. Data Privacy,,,,,,,,
9. Market Abuse We promote and facilitate market integrity. � Ethical culture,,,We promote and facilitate market integrity.,,9. Market Abuse,,,,,,,,
10. Reputation We uphold the reputation of Absa � Ethical culture,,,We uphold the reputation of Absa,,10. Reputation,,,,,,,,
Create a new culture Differentiate by becoming people-centric,,,,,,,,,,,,,
Re-orientate around the customer Empower ownership,,,,,,,,,,,,,
"We drive high performance to achieve sustainable results � We play to win and are accountable for results. � We innovate, we are decisive and we act quickly. � We learn from our failures; we are bold enough to change course. We are obsessed with the customer � We are curious, we anticipate the customer’s needs. � We take ownership of delivering the One Absa customer experience. � We outperform by going beyond customer expectations.",,,"We are obsessed with the customer � We are curious, we anticipate the customer’s needs. � We take ownership of delivering the One Absa customer experience. � We outperform by going beyond customer expectations.",,"We drive high performance to achieve sustainable results � We play to win and are accountable for results. � We innovate, we are decisive and we act quickly. � We learn from our failures; we are bold enough to change course.",,,,,,,,
"Our people are our strength � We integrate diverse perspectives to invent the future. � We collaborate with courage, honesty and powerful energy. � We trust, value and grow our people to achieve their full potential. We have an African heartbeat � We deliver a uniquely Absa experience across Africa. � We co-create across Africa to deliver better solutions. � We actively engage our communities to bring people’s possibilities to life.",,,We have an African heartbeat � We deliver a uniquely Absa experience across Africa. � We co-create across Africa to deliver better solutions. � We actively engage our communities to bring people’s possibilities to life.,,"Our people are our strength � We integrate diverse perspectives to invent the future. � We collaborate with courage, honesty and powerful energy. � We trust, value and grow our people to achieve their full potential.",,,,,,,,
Year % staff unionised,% women in staff compliment,% women in senior management,Number of staff,% women in management,,Target %,% staff in front office,% staff in back office,,,,,
Director Status - INED/NED/ EXD Main Board Committee 1 Committee 2,,,,Number of Committees of Membership,,,,,,,,,
None Charles Muchene (C) INED ü Corporate Governance and Nominations None,,,,1,,,,,,,,,
None Ashok Shah INED ü Credit None,,,,2,,,,,,,,,
None Japheth Olende INED ü Credit None,,,,1,,,,,,,,,
None Patricia Ithau INED ü Corporate Governance and Nominations None,,,,1,,,,,,,,,
None Winnie Ouko INED ü Credit None,,,,2,,,,,,,,,
None Laila Macharia INED ü Credit None,,,,2,,,,,,,,,
None Louis O. Otieno INED ü Corporate Governance and Nomination None,,,,2,,,,,,,,,
None Norah Odwesso* INED ü Corporate Governance and Nomination None,,,,2,,,,,,,,,
None Jeremy Awori EXD/MD ü Credit None,,,,1,,,,,,,,,
None Yusuf Omari EXD ü None,,,,,,,,,,,,,
None Summary of composition INED None,,,,7,,,,,,,,,
None None EXD None,,,,2,,,,,,,,,
Director Independence Nationality Gender,,Tenure as at 31 December 2019 (years and months),,Age,,,,,,,,,
None Charles Muchene Independent Kenyan None,,3 yrs 4 mths,,62,,,,,,,,,
None Ashok Shah Independent Kenyan None,,8 yrs 6 mths,,71,,,,,,,,,
None Winnie Ouko Independent Kenyan None,,5 yrs 4 mths,,49,,,,,,,,,
None Patricia Ithau Independent Kenyan None,,3 yrs 10 mths,,54,,,,,,,,,
None Laila Macharia Independent Kenyan None,,5 yrs 4 mths,,49,,,,,,,,,
None Japheth Olende Independent Kenyan None,,2 yrs 10 mths,,66,,,,,,,,,
None Louis Otieno Independent Kenyan None,,2 yrs 10 mths,,55,,,,,,,,,
None Jeremy Awori Non-Independent Kenyan None,,6 yrs 11 mths,,49,,,,,,,,,
None Yusuf Omari Non-Independent Kenyan None,,10 yrs 7 mths,,46,,,,,,,,,
Board committee Purpose Composition Quorum Frequency of meetinga,Composition,,Purpose,Quorum,,,,,,,,,
"Corporate Governance and Nominations The Committee is responsible for considering matters relating to the composition of the Board, including the recommendation of potential Directors. It also makes appropriate recommendations to the Board and reviewing succession plans to maintain an appropriate balance of skills on the Board. The Committee’s responsibilities also include corporate governance issues such as overseeing the annual Board effectiveness reviews, reviewing the Board’s remuneration, the Board Charter, Conflicts of Interest Register and ensuring appropriate on-going training for the Board. The Committee is further responsible for monitoring effective strategic implementation of key aspects of Human Resource management in the Bank. Comprised of upto four (4) Non-executive Directors Any two (2) Non-executive Directors Quarterly",Comprised of upto four (4) Non-executive Directors,,"The Committee is responsible for considering matters relating to the composition of the Board, including the recommendation of potential Directors. It also makes appropriate recommendations to the Board and reviewing succession plans to maintain an appropriate balance of skills on the Board. The Committee’s responsibilities also include corporate governance issues such as overseeing the annual Board effectiveness reviews, reviewing the Board’s remuneration, the Board Charter, Conflicts of Interest Register and ensuring appropriate on-going training for the Board. The Committee is further responsible for monitoring effective strategic implementation of key aspects of Human Resource management in the Bank.",Any two (2) Non-executive Directors,,,,,,,,,
Board committee Purpose Composition Quorum Frequency of meeting,,Frequency of meeting,Purpose,,,,,,,,,,
"Audit and Risk The Audit and Risk Committee has direct access to the External Auditors, Internal Audit function, the Company Secretary as well as the authority to engage external professional advisors. The Board has delegated authority to undertake the following activities: � Review the contents of interim and final financial reports to ensure that the Board is satisfied with the integrity of the financial statements and particularly the key financial judgments within them. � Monitor the effectiveness of the internal control systems and regularly receive reports from the internal and external auditors as well as Management’s Executive Risk Committee. � Determine the scope and adequacy of audit assignments carried out by the external and internal auditors. � Monitor the level and control of the Bank’s risk profile and risk monitoring in relation to financial and business risks. The Committee pays particular attention to the risks identified in the Bank, challenges management on the appropriateness of mitigating actions and monitors their implementation. � Review reports from Management on changes in the regulatory environment and expected impact of the changes on the Bank’s operations. The Committee is composed of four Independent Non- Executive Directors. Two Non- executive members. It may vary from time to time, but the committee meets eight times annually.",,"It may vary from time to time, but the committee meets eight times annually.","The Audit and Risk Committee has direct access to the External Auditors, Internal Audit function, the Company Secretary as well as the authority to engage external professional advisors. The Board has delegated authority to undertake the following activities: � Review the contents of interim and final financial reports to ensure that the Board is satisfied with the integrity of the financial statements and particularly the key financial judgments within them. � Monitor the effectiveness of the internal control systems and regularly receive reports from the internal and external auditors as well as Management’s Executive Risk Committee. � Determine the scope and adequacy of audit assignments carried out by the external and internal auditors. � Monitor the level and control of the Bank’s risk profile and risk monitoring in relation to financial and business risks. The Committee pays particular attention to the risks identified in the Bank, challenges management on the appropriateness of mitigating actions and monitors their implementation. � Review reports from Management on changes in the regulatory environment and expected impact of the changes on the Bank’s operations.",,,,,,,,,,
"Credit The Credit Committee plays a critical role in the formulation and review of lending policies and ensures that such policies are in compliance with regulatory requirements. The Committee has delegated authority to handle the following matters: � To form a continuing forum to discuss and review credit policy and strategy. � To ensure that the Bank remains competitive by monitoring, discussing and advising on the Bank’s credit risk appetite and tolerances in aggregate by sector and/ or product. � To ensure compliance with statutory and regulatory requirements on lending limits, capital adequacy and statutory ratios. � To provide input on political, environmental and socio-economic matters in order to ensure that all relevant non-credit risk issues are taken into account in making sanctioning decisions. � To monitor, advise on and review lending to persons and institutions that may impact on the Bank’s reputation and relationship with key stakeholders. � To monitor the overall health of the Bank’s lending book based on sector, currency, maturity and including impairments. � To monitor and give input on the strategic management of the Barclays Business Support Accounts generally and specifically as the business environment may require. The committee has a membership of four Non-executive Directors. Three people, two of whom must be Non-Executive Directors. Quarterly",,,"The Credit Committee plays a critical role in the formulation and review of lending policies and ensures that such policies are in compliance with regulatory requirements. The Committee has delegated authority to handle the following matters: � To form a continuing forum to discuss and review credit policy and strategy. � To ensure that the Bank remains competitive by monitoring, discussing and advising on the Bank’s credit risk appetite and tolerances in aggregate by sector and/ or product. � To ensure compliance with statutory and regulatory requirements on lending limits, capital adequacy and statutory ratios. � To provide input on political, environmental and socio-economic matters in order to ensure that all relevant non-credit risk issues are taken into account in making sanctioning decisions. � To monitor, advise on and review lending to persons and institutions that may impact on the Bank’s reputation and relationship with key stakeholders. � To monitor the overall health of the Bank’s lending book based on sector, currency, maturity and including impairments. � To monitor and give input on the strategic management of the Barclays Business Support Accounts generally and specifically as the business environment may require.","Three people, two of whom must be Non-Executive Directors.",,,,,,,,,
40 35 30 25 20 15 10 5 0 None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None,,,,,40 35 30 25 20 15 10 5 0,,,,,,,,
None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None,,,,,None,,,,,,,,
None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None,,,,,None,,,,,,,,
None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None,,,,,None,,,,,,,,
None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None None,,,,,None,,,,,,,,
None None None None None None None None None None None None None None None None None None None None None None None None None None None,,,,,None,,,,,,,,
None rooP rooP riaF dooG dooG yreV yreV Board Independence None None rooP rooP riaF dooG dooG yreV yreV Compliance with Laws None None None None rooP rooP riaF dooG dooG yreV yreV Stakeholder Value Enhancement None None None rooP rooP riaF dooG dooG yreV yreV CSR None None None rooP rooP riaF dooG dooG yreV yreV Ethical and Strategic Management None None None None rooP rooP riaF dooG dooG yreV yreV Policies Systems and Practices None None None None None None rooP rooP riaF dooG dooG yreV yreV Stakeholder Relations None rooP rooP riaF dooG dooG yreV yreV Sustainability None None None None rooP rooP riaF dooG dooG yreV yreV Transparency and Disclosure None None None None,,,,,None,,,,,,,,
Achievements in the year,,,,,Achievements in the year,,,,,,,,
"Our reward philosophy underpins our growth strategy, entrepreneurial culture and risk management approach. Its objective is to direct the efforts of our colleagues in delivering our strategy of creating sustainable value for all our stakeholders in a fair and responsible way. Our reward principles 1. Attract, retain and engage high calibre individuals who have the skills, ambition and talent to deliver our strategy 2. Support the realisation of our Stakeholder promises, with specific focus on rewarding our people for the achievement of our strategy within our risk appetite relative to performance and investor returns 3. Align the long-term interests of our Executives and Investors, by ensuring remuneration outcomes are aligned to the value we create in the short and long term and are transparent. Specific emphasis on increasing longer term incentives for senior and executive staff aligned to market practice 4. Pay for performance, by aligning incentive outcomes to performance and value created. Within this, we apply deferrals, and malus and clawback provisions to ensure effective alignment of risk and reward within the context of Group performance outcomes and to discourage inappropriate behaviour. 5. Drive our culture of being entrepreneurial, while taking ownership and accountability for responsible, sustainable business growth and success: We aim to do this by: • Ensuring that all colleagues share in the company’s success, differentiated on the basis of their contribution, in both the short and long term • Ensuring our people’s ethical behaviours, values and adherence to our Risk Management principles are recognised in their performance ratings 6. Continuously build confidence and trust in our reward outcomes through high quality reward governance, disclosure and engagement with our Investors as well as internal transparency and effective communication 7. Deliver fair and responsible remuneration, through annual reviews and disclosure of pay gap metrics, and decisions that influence our most junior employees to ensure dignified",,,,,"Our reward philosophy underpins our growth strategy, entrepreneurial culture and risk management approach. Its objective is to direct the efforts of our colleagues in delivering our strategy of creating sustainable value for all our stakeholders in a fair and responsible way. Our reward principles 1. Attract, retain and engage high calibre individuals who have the skills, ambition and talent to deliver our strategy 2. Support the realisation of our Stakeholder promises, with specific focus on rewarding our people for the achievement of our strategy within our risk appetite relative to performance and investor returns 3. Align the long-term interests of our Executives and Investors, by ensuring remuneration outcomes are aligned to the value we create in the short and long term and are transparent. Specific emphasis on increasing longer term incentives for senior and executive staff aligned to market practice 4. Pay for performance, by aligning incentive outcomes to performance and value created. Within this, we apply deferrals, and malus and clawback provisions to ensure effective alignment of risk and reward within the context of Group performance outcomes and to discourage inappropriate behaviour. 5. Drive our culture of being entrepreneurial, while taking ownership and accountability for responsible, sustainable business growth and success: We aim to do this by: • Ensuring that all colleagues share in the company’s success, differentiated on the basis of their contribution, in both the short and long term • Ensuring our people’s ethical behaviours, values and adherence to our Risk Management principles are recognised in their performance ratings 6. Continuously build confidence and trust in our reward outcomes through high quality reward governance, disclosure and engagement with our Investors as well as internal transparency and effective communication 7. Deliver fair and responsible remuneration, through annual reviews and disclosure of pay gap metrics, and decisions that influence our most junior employees to ensure dignified",,,,,,,,
Director Totals,Group Audit and Risk Committee,Credit Committee Meeting,Main Board,Corporate Governance and Nominations Committee,,,,,,,,,
Name Date of appointment Type of Contract Notice Period,,,Date of appointment,,,,,,,,,,
None 1 February 2013 Permanent None,,,1 February 2013,,,,,,,,,,
None 1 June 2009 Permanent None,,,1 June 2009,,,,,,,,,,
Member,Chairman,,Member,,Chairman,,,,,,,,
Non-Executive Directors Date of Appointment Total Emoluments 2018,Total Emoluments 2019,,,,,,,,,,,,
None 22 August 2016 None,7 392 000,,,,,,,,,,,,
None July 2011 None,4 065 600,,,,,,,,,,,,
None August 2014 None,3 819 200,,,,,,,,,,,,
None 23 February 2016 None,4 483 600,,,,,,,,,,,,
None 7 March 2018 None,4 114 000,,,,,,,,,,,,
Financial review,,,,,Financial review,,,,,,,,
Financial review Consolidated and separate financial statements Report of the Directors 104 Statement of Directors’ responsibilities 106 Independent Auditors’ report 107 Consolidated statement of comprehensive income 111 Bank statement of comprehensive income 112 Consolidated statement of financial position 113 Bank statement of financial position 114 Consolidated statement of changes in equity 115 Bank statement of changes in equity 116 Consolidated statement of cash flows 117 Bank statement of cash flows 118 Summary of accounting policies 119 Notes to the annual financial statements 136 None,,,,,Financial review Consolidated and separate financial statements Report of the Directors 104 Statement of Directors’ responsibilities 106 Independent Auditors’ report 107 Consolidated statement of comprehensive income 111 Bank statement of comprehensive income 112 Consolidated statement of financial position 113 Bank statement of financial position 114 Consolidated statement of changes in equity 115 Bank statement of changes in equity 116 Consolidated statement of cash flows 117 Bank statement of cash flows 118 Summary of accounting policies 119 Notes to the annual financial statements 136,,,,,,,,
7 416 7 711 (3 230) (1 086) (4 888) 44 206,7 161,,,,7 456,,,,,,,,
Key audit matters (continued),,,,,Key audit matters (continued),,,,,,,,
Key audit matter How our audit addressed the key audit matter,,,How our audit addressed the key audit matter,,Key audit matter,,,,,,,,
